Instance,Ref_Type,GRASP_Penalty_BestPenalty,GRASP_Penalty_WorstPenalty,GRASP_Penalty_MeanPenalty,GRASP_Time_MeanTime,GRASP_GAP_BestGAP,GRASP_GAP_MeanGAP,Greedy_Penalty_BestPenalty,Greedy_Penalty_WorstPenalty,Greedy_Penalty_MeanPenalty,Greedy_Time_MeanTime,Greedy_GAP_BestGAP,Greedy_GAP_MeanGAP,ILS_Penalty_BestPenalty,ILS_Penalty_WorstPenalty,ILS_Penalty_MeanPenalty,ILS_Time_MeanTime,ILS_GAP_BestGAP,ILS_GAP_MeanGAP,VND_Penalty_BestPenalty,VND_Penalty_WorstPenalty,VND_Penalty_MeanPenalty,VND_Time_MeanTime,VND_GAP_BestGAP,VND_GAP_MeanGAP
n3m10A,opt,7483.0000,7483.0000,7483.0000,0.3323,0.0000,0.0000,18733.0000,18733.0000,18733.0000,0.0000,150.3408,150.3408,7483.0000,7483.0000,7483.0000,0.5244,0.0000,0.0000,7483.0000,10800.0000,9989.2000,0.0182,0.0000,33.4919
n3m10B,opt,1277.0000,1277.0000,1277.0000,0.2958,0.0000,0.0000,1568.0000,1568.0000,1568.0000,0.0000,22.7878,22.7878,1277.0000,1277.0000,1277.0000,0.5546,0.0000,0.0000,1277.0000,1277.0000,1277.0000,0.0165,0.0000,0.0000
n3m10C,opt,2088.0000,2088.0000,2088.0000,0.3420,0.0000,0.0000,7395.0000,7395.0000,7395.0000,0.0000,254.1667,254.1667,2088.0000,2088.0000,2088.0000,0.5523,0.0000,0.0000,2150.0000,2150.0000,2150.0000,0.0227,2.9693,2.9693
n3m10D,opt,322.0000,322.0000,322.0000,0.3006,0.0000,0.0000,6283.0000,6283.0000,6283.0000,0.0000,1851.2422,1851.2422,322.0000,322.0000,322.0000,0.4924,0.0000,0.0000,510.0000,510.0000,510.0000,0.0177,58.3851,58.3851
n3m10E,opt,3343.0000,3452.0000,3364.8000,0.3479,0.0000,0.6521,4654.0000,4654.0000,4654.0000,0.0000,39.2163,39.2163,3343.0000,3452.0000,3408.4000,0.5500,0.0000,1.9563,3474.0000,3790.0000,3726.8000,0.0155,3.9186,11.4807
n3m20A,LB,31357.0000,33888.0000,32042.5000,1.2737,278.7077,286.9867,66788.0000,66788.0000,66788.0000,0.0000,706.6184,706.6184,31357.0000,32209.0000,31569.0000,1.5353,278.7077,281.2681,33331.0000,39889.0000,36252.3000,0.0787,302.5483,337.8297
n3m20B,LB,16992.0000,18966.0000,18003.8000,1.1800,833.6264,889.2198,37994.0000,37994.0000,37994.0000,0.0000,1987.5824,1987.5824,16719.0000,18547.0000,17296.7000,1.5357,818.6264,850.3681,20329.0000,25978.0000,22116.7000,0.0731,1016.9780,1115.2033
n3m20C,LB,6691.0000,7595.0000,7118.6000,1.1231,682.5731,732.5848,24241.0000,24241.0000,24241.0000,0.0000,2735.2047,2735.2047,6462.0000,7296.0000,6785.5000,1.5110,655.7895,693.6257,8505.0000,15345.0000,11158.6000,0.0496,894.7368,1205.0994
n3m20D,opt,4357.0000,4727.0000,4431.4000,1.2433,0.0000,1.7076,13484.0000,13484.0000,13484.0000,0.0000,209.4790,209.4790,4357.0000,4597.0000,4445.6000,1.5714,0.0000,2.0335,4357.0000,5103.0000,4720.4000,0.0857,0.0000,8.3406
n3m20E,opt,3798.0000,3922.0000,3849.6000,1.2658,0.0000,1.3586,20585.0000,20585.0000,20585.0000,0.0000,441.9958,441.9958,3798.0000,3844.0000,3813.0000,1.5259,0.0000,0.3949,3888.0000,5442.0000,4959.3000,0.0602,2.3697,30.5766
n3m40A,LB,52907.0000,62617.0000,57952.3000,2.1536,47138.3929,51643.1250,169845.0000,169845.0000,169845.0000,0.0001,151547.3214,151547.3214,52431.0000,64961.0000,58725.1000,1.6241,46713.3929,52333.1250,56004.0000,75329.0000,63017.1000,0.2706,49903.5714,56165.2679
n3m40B,LB,32203.0000,47747.0000,40531.7000,2.1836,3559.4318,4505.8750,176478.0000,176478.0000,176478.0000,0.0001,19954.3182,19954.3182,35433.0000,51621.0000,40162.3000,1.6831,3926.4773,4463.8977,38513.0000,61149.0000,51256.8000,0.3021,4276.4773,5724.6364
n3m40C,LB,53490.0000,64332.0000,59725.1000,2.1486,2626.2997,2944.0928,212798.0000,212798.0000,212798.0000,0.0001,10745.9735,10745.9735,50699.0000,60823.0000,57180.5000,1.6354,2484.0469,2814.3986,58113.0000,84091.0000,69217.8000,0.2748,2861.9266,3427.9205
n3m40D,LB,15377.0000,18496.0000,16996.0000,2.1366,5746.7681,6362.3574,131947.0000,131947.0000,131947.0000,0.0001,50069.9620,50069.9620,14696.0000,17722.0000,16191.7000,1.7081,5487.8327,6056.5399,15936.0000,23579.0000,19920.4000,0.4137,5959.3156,7474.2966
n3m40E,LB,19706.0000,22429.0000,21213.3000,2.1635,1553.1879,1679.6393,168788.0000,168788.0000,168788.0000,0.0001,14060.0671,14060.0671,18441.0000,25954.0000,21361.7000,1.6457,1447.0638,1692.0889,19675.0000,29419.0000,23385.4000,0.3400,1550.5872,1861.8624
